,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,12.07,15.56,13.79,25.74,18.64,11.85,17.43,15.34,11.11,11.23,19.57,10.29
2,16.53,3.6,21.54,26.48,11.56,8.58,7.6,11.37,11.18,20.73,19.35,14.54
3,8.57,9.7,18.13,24.28,16.23,21.85,11,11.04,8.61,21.62,17.73,14.34
4,13.64,15.26,16.28,23.93,3.92,9.44,11.11,7.55,5.63,9.9,10.45,16
5,8.29,12.97,11.11,20.5,17.22,18.7,17.94,21.49,10.46,15.27,15.83,8.11
6,16.28,14.7,10.67,7.51,16.8,20.57,7.26,26.17,17.36,18.67,9.91,15.49
7,15.62,11.23,10.93,16.61,10.44,26.98,12.53,26.09,9.01,18.83,5.55,11.45
8,14.42,10.01,3.64,11.69,18.22,22.67,5.85,23.23,15.32,15.49,8.34,16.14
9,8.17,15.05,6.43,12.4,19.24,22.51,21.02,11.24,12.98,11.57,14.76,14.7
10,12.79,9.42,6.32,4.77,11,21.66,17.38,12.82,21.99,17.68,17.56,13.57
11,7.4,18.74,4.57,4.27,20.01,21,24.39,14.21,22.85,22.74,8.24,15.63
12,2.73,18.72,7.05,3.78,19.67,17.54,21.89,24.05,13.89,19.55,3.82,10.11
13,2.65,20.34,11.59,6.37,6.34,2.12,25.15,23.61,19.15,22.15,3.3,4.52
14,3.86,20.77,3.23,15.57,14.26,6.78,23.94,22.99,17.82,5.82,6.04,10.57
15,3.81,21,10.11,17.01,4.85,14.42,18.83,23.92,15.96,6.11,6.55,12.53
16,7.86,20.46,8.71,21.39,8.9,4.84,7.28,17.96,20.83,7.8,16.65,13.81
17,9.9,20.23,8.55,24.31,22.86,2.94,5.95,21.83,16.75,6.53,17.2,6.49
18,4.03,20.41,6.93,22.61,13.69,6.11,3.9,20.18,22.55,19.99,7.21,16.23
19,15.47,5.78,3.2,24.74,7.76,7.08,21.14,24.65,22.21,12.95,3.36,15.9
20,17.29,16.64,22.04,6.58,5.38,4.84,19.29,25.47,16.12,14.3,6.22,17.41
21,15.79,5.55,22.78,5.42,5.65,4.86,21.72,23.55,15.01,20.54,6.94,17.52
22,17.67,10.01,3.91,4.96,4.61,18.16,23.13,18.32,17.39,19.85,16.83,15.21
23,15.8,3.91,14.57,4.15,17.11,15.87,5.16,2.22,16.63,16.21,13.44,6.51
24,14.64,2.14,14.94,7.47,1.79,17.32,15.79,21.09,9.99,19.57,11.51,15.62
25,17.33,3.28,6.92,3.19,12.21,22.74,26.27,17.34,15.48,19.3,5.65,14.97
26,17.29,9.21,4.77,10.4,9.4,21.4,26.45,25.58,20.13,18.61,11.29,13.47
27,19.16,17.63,16.35,4.32,23.58,16.66,10.45,1.5,14.69,18.94,8.93,16.47
28,7.26,20.49,22.12,16.03,26.79,26.97,25.04,2.97,21.67,18.85,9.05,9.26
29,7.75,,8.68,22.61,26.64,22.86,19.54,24.59,21.42,18.88,13.9,16.63
30,6.82,,8.71,23.9,21.51,23.34,23.45,15.74,10.38,18.2,3.56,16.25
31,3.29,,3.34,,27.04,,15.07,17.33,,18.96,,16.49
